name,type,value,date,color
Alexander Graf,GER,2629,2004-01-27,#FFFFFFF
Alexander Graf,GER,2656,2004-04-27,#FFFFFFF
Alexander Graf,GER,2661,2004-07-27,#FFFFFFF
Alexander Graf,GER,2646,2004-10-27,#FFFFFFF
Alexander Graf,GER,2637,2005-01-27,#FFFFFFF
Alexander Graf,GER,2632,2005-04-27,#FFFFFFF
Alexander Graf,GER,2636,2008-10-27,#FFFFFFF
Alexander Graf,GER,2644,2009-01-27,#FFFFFFF
Alexander Grischuk,RUS,2783,2017-07-27,#D52B1E
Alexander Grischuk,RUS,2783,2017-08-27,#D52B1E
Alexander Grischuk,RUS,2788,2017-09-27,#D52B1E
Alexander Grischuk,RUS,2785,2017-10-27,#D52B1E
Alexander Grischuk,RUS,2782,2017-11-27,#D52B1E
Alexander Grischuk,RUS,2772,2017-12-27,#D52B1E
Alexander Grischuk,RUS,2767,2018-01-27,#D52B1E
Alexander Grischuk,RUS,2767,2018-02-27,#D52B1E
Alexander Grischuk,RUS,2767,2018-03-27,#D52B1E
Alexander Grischuk,RUS,2766,2018-04-27,#D52B1E
Alexander Grischuk,RUS,2766,2018-05-27,#D52B1E
Alexander Grischuk,RUS,2766,2018-06-27,#D52B1E
Alexander Grischuk,RUS,2766,2018-07-27,#D52B1E
Alexander Grischuk,RUS,2766,2018-08-27,#D52B1E
Alexander Grischuk,RUS,2769,2018-09-27,#D52B1E
Alexander Grischuk,RUS,2769,2018-10-27,#D52B1E
Alexander Grischuk,RUS,2771,2018-11-27,#D52B1E
Alexander Grischuk,RUS,2771,2018-12-27,#D52B1E
Alexander Grischuk,RUS,2771,2019-01-27,#D52B1E
Alexander Grischuk,RUS,2771,2019-02-24,#D52B1E
Alexander Grischuk,RUS,2606,2000-07-27,#D52B1E
Alexander Grischuk,RUS,2601,2000-10-27,#D52B1E
Alexander Grischuk,RUS,2663,2001-01-27,#D52B1E
Alexander Grischuk,RUS,2668,2001-04-27,#D52B1E
Alexander Grischuk,RUS,2669,2001-07-27,#D52B1E
Alexander Grischuk,RUS,2666,2001-10-27,#D52B1E
Alexander Grischuk,RUS,2671,2002-01-27,#D52B1E
Alexander Grischuk,RUS,2702,2002-04-27,#D52B1E
Alexander Grischuk,RUS,2702,2002-07-27,#D52B1E
Alexander Grischuk,RUS,2702,2002-10-27,#D52B1E
Alexander Grischuk,RUS,2712,2003-01-27,#D52B1E
Alexander Grischuk,RUS,2701,2003-04-27,#D52B1E
Alexander Grischuk,RUS,2732,2003-07-27,#D52B1E
Alexander Grischuk,RUS,2732,2003-10-27,#D52B1E
Alexander Grischuk,RUS,2719,2004-01-27,#D52B1E
Alexander Grischuk,RUS,2719,2004-04-27,#D52B1E
Alexander Grischuk,RUS,2705,2004-07-27,#D52B1E
Alexander Grischuk,RUS,2704,2004-10-27,#D52B1E
Alexander Grischuk,RUS,2710,2005-01-27,#D52B1E
Alexander Grischuk,RUS,2724,2005-04-27,#D52B1E
Alexander Grischuk,RUS,2720,2005-07-27,#D52B1E
Alexander Grischuk,RUS,2720,2005-10-27,#D52B1E
Alexander Grischuk,RUS,2717,2006-01-27,#D52B1E
Alexander Grischuk,RUS,2719,2006-04-27,#D52B1E
Alexander Grischuk,RUS,2709,2006-07-27,#D52B1E
Alexander Grischuk,RUS,2710,2006-10-27,#D52B1E
Alexander Grischuk,RUS,2717,2007-01-27,#D52B1E
Alexander Grischuk,RUS,2717,2007-04-27,#D52B1E
Alexander Grischuk,RUS,2726,2007-07-27,#D52B1E
Alexander Grischuk,RUS,2715,2007-10-27,#D52B1E
Alexander Grischuk,RUS,2711,2008-01-27,#D52B1E
Alexander Grischuk,RUS,2716,2008-04-27,#D52B1E
Alexander Grischuk,RUS,2728,2008-07-27,#D52B1E
Alexander Grischuk,RUS,2719,2008-10-27,#D52B1E
Alexander Grischuk,RUS,2733,2009-01-27,#D52B1E
Alexander Grischuk,RUS,2748,2009-04-27,#D52B1E
Alexander Grischuk,RUS,2733,2009-07-27,#D52B1E
Alexander Grischuk,RUS,2733,2009-09-27,#D52B1E
Alexander Grischuk,RUS,2736,2009-11-27,#D52B1E
Alexander Grischuk,RUS,2736,2010-01-27,#D52B1E
Alexander Grischuk,RUS,2756,2010-03-27,#D52B1E
Alexander Grischuk,RUS,2760,2010-05-27,#D52B1E
Alexander Grischuk,RUS,2760,2010-07-27,#D52B1E
Alexander Grischuk,RUS,2760,2010-09-27,#D52B1E
Alexander Grischuk,RUS,2771,2010-11-27,#D52B1E
Alexander Grischuk,RUS,2773,2011-01-27,#D52B1E
Alexander Grischuk,RUS,2747,2011-03-27,#D52B1E
Alexander Grischuk,RUS,2747,2011-05-27,#D52B1E
Alexander Grischuk,RUS,2746,2011-07-27,#D52B1E
Alexander Grischuk,RUS,2757,2011-09-27,#D52B1E
Alexander Grischuk,RUS,2752,2011-11-27,#D52B1E
Alexander Grischuk,RUS,2761,2012-01-27,#D52B1E
Alexander Grischuk,RUS,2761,2012-03-27,#D52B1E
Alexander Grischuk,RUS,2761,2012-05-27,#D52B1E
Alexander Grischuk,RUS,2763,2012-07-27,#D52B1E
Alexander Grischuk,RUS,2763,2012-08-27,#D52B1E
Alexander Grischuk,RUS,2754,2012-09-27,#D52B1E
Alexander Grischuk,RUS,2752,2012-10-27,#D52B1E
Alexander Grischuk,RUS,2764,2012-11-27,#D52B1E
Alexander Grischuk,RUS,2764,2012-12-27,#D52B1E
Alexander Grischuk,RUS,2764,2013-01-27,#D52B1E
Alexander Grischuk,RUS,2764,2013-02-27,#D52B1E
Alexander Grischuk,RUS,2764,2013-03-27,#D52B1E
Alexander Grischuk,RUS,2764,2013-04-27,#D52B1E
Alexander Grischuk,RUS,2779,2013-05-27,#D52B1E
Alexander Grischuk,RUS,2779,2013-06-27,#D52B1E
Alexander Grischuk,RUS,2780,2013-07-27,#D52B1E
Alexander Grischuk,RUS,2785,2013-08-27,#D52B1E
Alexander Grischuk,RUS,2785,2013-09-27,#D52B1E
Alexander Grischuk,RUS,2786,2013-10-27,#D52B1E
Alexander Grischuk,RUS,2785,2013-11-27,#D52B1E
Alexander Grischuk,RUS,2783,2013-12-27,#D52B1E
Alexander Grischuk,RUS,2777,2014-01-27,#D52B1E
Alexander Grischuk,RUS,2777,2014-02-27,#D52B1E
Alexander Grischuk,RUS,2777,2014-03-27,#D52B1E
